California - 35th District,DEM,Norma Torres,"109,767",71.80%,REP,Tyler Fischella,"43,189",28.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 36th District,DEM,Raul Ruiz,"132,252",61.40%,REP,Jeff Stone,"83,049",38.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 37th District,DEM,Karen Bass,"150,535",82%,DEM,Chris Wiggins,"33,082",18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 38th District,DEM,Linda Sanchez,"131,099",69.70%,REP,Ryan Downing,"56,883",30.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 39th District,REP,Ed Royce,"138,907",57.70%,DEM,Brett Murdock,"101,651",42.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 40th District,DEM,Lucille Roybal-Allard,"82,789",71.90%,Other,Roman Gonzalez,"32,404",28.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 41st District,DEM,Mark Takano,"115,859",64.40%,REP,Doug Shepherd,"64,153",35.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 42nd District,REP,Ken Calvert,"139,915",59%,DEM,Tim Sheridan,"97,123",41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 43rd District,DEM,Maxine Waters,"128,551",75.60%,REP,Omar Navarro,"41,507",24.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 44th District,DEM,Nanette Barragan,"70,303",51.10%,DEM,Isadore Hall,"67,177",48.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 45th District,REP,Mimi Walters,"171,736",59%,DEM,Ron Varasteh,"119,521",41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 46th District,DEM,Lou Correa,"103,475",69.90%,DEM,Bao Nguyen,"44,652",30.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 47th District,DEM,Alan Lowenthal,"127,832",62.50%,REP,Andy Whallon,"76,670",37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 48th District,REP,Dana Rohrabacher,"165,987",58.50%,DEM,Suzanne Savary,"117,716",41.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 49th District,REP,Darrell Issa,"134,428",51%,DEM,Doug Applegate,"129,100",49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 50th District,REP,Duncan Hunter,"148,880",63.90%,DEM,Patrick Malloy,"84,142",36.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
