Colorado - 2nd District,DEM,Jared Polis,"191,733",56.50%,REP,George Leing,"147,779",43.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 3rd District,REP,Scott Tipton,"159,793",58.10%,DEM,Abel Tapia,"98,172",35.70%,Other,Tisha Casida,"10,929",4%,Other,Travis Mero,"6,286",2.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 4th District,REP,Ken Buck,"183,956",64.80%,DEM,Vic Meyers,"82,872",29.20%,Other, Jess Loban,"9,315",3.30%,Other,Grant Doherty,"7,943",2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 5th District,REP,Doug Lamborn,"156,749",59.80%,DEM,Irv Halter,"105,373",40.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 6th District,REP,Mike Coffman,"141,221",52%,DEM,Andrew Romanoff,"116,621",42.90%,Other,Norm Olsen,"8,390",3.10%,Other,Gary Swing,"5,343",2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 7th District,DEM,Ed Perlmutter,"139,166",54.90%,REP,Don Ytterberg,"114,480",45.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 1st District,DEM,John Larson,"135,134",62.20%,REP,Matthew Corey,"78,469",36.10%,Other,Jeffery Russell,"3,641",1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 2nd District,DEM,Joe Courtney,"141,069",62.30%,REP,Lori Hopkins-Cavanagh,"80,692",35.60%,Other,William Clyde,"2,461",1.10%,Other,Daniel Reale,"2,394",1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 3rd District,DEM,Rosa DeLauro,"139,432",67.10%,REP,James Brown,"68,443",32.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 4th District,DEM,Jim Himes,"106,690",53.70%,REP,Dan Debicella,"92,080",46.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 5th District,DEM,Elizabeth Esty,"109,819",53%,REP,Mark Greenberg,"95,319",46%,Other,John Pistone,"2,032",1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware - 1st District,DEM,John Carney,"137,245",59.30%,REP,Rose Izzo,"85,142",36.80%,Other,Bernard August,"4,801",2.10%,Other,Scott Gesty,"4,419",1.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 1st District,REP,Jeff Miller,"164,897",41.20%,REP,Jeff Miller,"164,897",41.20%,DEM,Jim Bryan,"54,892",13.70%,Other,Mark Wichern,"15,257",3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 2nd District,DEM,Gwen Graham,"125,132",50.40%,REP,Steve Southerland,"122,939",49.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 3rd District,REP,Ted Yoho,"148,483",65%,DEM,Marihelen Wheeler,"73,695",32.30%,Other,Howard Lawson,"6,187",2.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 4th District,REP,Ander Crenshaw,"177,565",78.30%,Other,Paula Moser-Bartlett,"35,549",15.70%,Other,Gary Koniz,"13,644",6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Florida - 5th District,DEM,Corrine Brown,"112,092",65.50%,REP,Glo Smith,"59,152",34.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 6th District,REP,Ron DeSantis,"166,101",62.50%,DEM,David Cox,"99,463",37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 7th District,REP,John Mica,"144,370",63.60%,DEM,Wes Neuman,"72,925",32.10%,Other,Al Krulick,"9,666",4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 8th District,REP,Bill Posey,"180,541",65.90%,DEM,Gabriel Rothblatt,"93,588",34.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 9th District,DEM,Alan Grayson,"93,739",54%,REP,Carol Platt,"74,903",43.10%,Other,Marko Milakovich,"5,051",2.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 10th District,REP,Daniel Webster,"142,967",61.60%,DEM,Michael McKenna,"89,267",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 11th District,REP,Richard Nugent,"181,398",66.70%,DEM,Dave Koller,"90,706",33.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 12th District,REP,Gus Bilirakis,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 13th District,REP,David Jolly,"168,092",75.30%,Other,Lucas Overby,"55,273",24.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 14th District,DEM,Kathy Castor,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 15th District,REP,Dennis Ross,"128,533",60.30%,DEM,Alan Cohn,"84,620",39.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 16th District,REP,Vern Buchanan,"168,990",61.60%,DEM,Henry Lawrence,"105,357",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 17th District,REP,Tom Rooney,"141,310",63.20%, DEM,William Bronson,"82,126",36.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 18th District,DEM,Patrick Murphy,"151,253",59.80%,REP,Carl Domino,"101,778",40.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 19th District,REP,Curt Clawson,"159,038",64.60%,DEM,April Freeman,"80,607",32.70%,Other,Ray Netherwood,"6,650",2.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
