Florida - 17th District,REP,Tom Rooney,"165,439",58.60%,DEM,William Bronson,"116,730",41.40%
Florida - 18th District,DEM,Patrick Murphy,"166,223",50.30%,REP,Allen West,"164,316",49.70%
Florida - 19th District,REP,Trey Radel,"189,771",62%,DEM,Jim Roach,"109,685",35.80%,Other,Brandon Smith,"6,630",2.20%
Florida - 20th District,DEM,Alcee Hastings,"214,245",87.90%,Other,Randall Terry,"29,481",12.10%
Florida - 21st District,DEM,Ted Deutch,"221,188",77.80%,Other,Michael Trout,"37,764",13.30%,Other,Cesar Henao,"25,358",8.90%
Florida - 22nd District,DEM,Lois Frankel,"170,899",54.60%,REP,Adam Hasner,"141,946",45.40%
Florida - 23rd District,DEM,Debbie Wasserman Schultz,"174,071",63.20%,REP,Karen Harrington,"98,024",35.60%,Other,Ilya Katz,"3,124",1.10%
Florida - 24th District,DEM,Frederica Wilson,Uncontested race
Florida - 25th District,REP,Mario Diaz-Balart,"151,361",75.70%,Other,Stanley Blumenthal,"31,628",15.80%,Other,VoteForEddie.com,"17,081",8.50%
Florida - 26th District,DEM,Joe Garcia,"135,551",53.60%,REP,David Rivera,"108,737",43%,Other,Angel Fernandez,"5,721",2.30%,Other,Jose Peixoto,"2,715",1.10%
Florida - 27th District,REP,Ileana Ros-Lehtinen,"138,345",60.20%,DEM,Manny Yevancey,"84,899",36.90%,Other, Thomas Cruz-Wiggins,"6,653",2.90%
Georgia - 1st District,REP,Jack Kingston,"156,958",63%,DEM,Lesli Rae Messinger,"92,173",37%
Georgia - 2nd District,DEM,Sanford Bishop,"162,244",63.70%,REP,John House,"92,275",36.30%
Georgia - 3rd District,REP,Lynn Westmoreland,Uncontested race
Georgia - 4th District,DEM,Hank Johnson,"208,395",73.60%,REP,J. Chris Vaughn,"74,909",26.40%
Georgia - 5th District,DEM,John Lewis,"230,271",84.30%,REP,Howard Stopeck,"42,751",15.70%
Georgia - 6th District,REP,Tom Price,"187,299",64.50%,DEM,Jeff Kazanow,"102,914",35.50%
Georgia - 7th District,REP,Rob Woodall,"156,484",62.20%,DEM,Steve Reilly,"95,056",37.80%
Georgia - 8th District,REP,Austin Scott,Uncontested race
Georgia - 9th District,REP,Doug Collins,"190,456",76.20%,DEM,Jody Cooley,"59,449",23.80%
Georgia - 10th District,REP,Paul Broun,Uncontested race
Georgia - 11th District,REP,Phil Gingrey,"196,512",68.60%,DEM,Patrick Thompson,"89,892",31.40%
Georgia - 12th District,DEM,John Barrow,"138,965",53.70%,REP,Lee Anderson,"119,857",46.30%
Georgia - 13th District,DEM,David Scott,"200,670",71.70%,REP, Shahid Malik,"79,201",28.30%
Georgia - 14th District,REP,Tom Graves,"159,698",73%,DEM,Daniel Grant,"59,098",27%
Hawaii - 1st District,DEM,Colleen Hanabusa,"114,756",54.60%,REP,Charles Djou,"95,431",45.40%
Hawaii - 2nd District,DEM,Tulsi Gabbard,"167,085",80.60%,REP,Kawika Crowley,"40,285",19.40%
Iowa - 1st District,DEM,Bruce Braley,"220,795",56.90%,REP,Benjamin Lange,"161,864",41.70%,Other,Gregory Hughes,"4,739",1.20%,Other,George Krail,932,0.20%
Iowa - 2nd District,DEM,Dave Loebsack,"209,551",55.40%,REP,John Archer,"160,717",42.50%,Other,Alan Aversa,"8,238",2.20%
